Point,square_id,x_start,y_start,depth,Date,date_id
CH_95_SW_start,CH_95,2,2,2.9,08/18/1932,2
CH_95_NW_end,CH_95,2,3,1.9,08/18/1932,2
CH_95_NE_end,CH_95,3,3,1.9,08/18/1932,2
CH_95_SE_end,CH_95,3,2,1.9,08/18/1932,2
CH_95_SW_end,CH_95,2,2,1.9,08/18/1932,2
CH_95_NW_start,CH_95,2,3,3,08/20/1932,4
CH_95_NE_start,CH_95,3,3,3,08/20/1932,4
CH_95_SE_start,CH_95,3,2,3.2,08/20/1932,4
CH_95_SW_start,CH_95,2,2,3.2,08/20/1932,4
CH_95_NW_end,CH_95,2,3,2,08/20/1932,4
CH_95_NE_end,CH_95,3,3,2,08/20/1932,4
CH_95_SE_end,CH_95,3,2,2.2,08/20/1932,4
CH_95_SW_end,CH_95,2,2,2.2,08/20/1932,4
CH_95_NW_start,CH_95,2,3,3.2,08/21/1932,5
CH_95_NE_start,CH_95,3,3,3.2,08/21/1932,5
CH_95_SE_start,CH_95,3,2,3.15,08/21/1932,5
CH_95_SW_start,CH_95,2,2,3.15,08/21/1932,5
CH_95_NW_end,CH_95,2,3,2.4,08/21/1932,5
CH_95_NE_end,CH_95,3,3,2.4,08/21/1932,5
CH_95_SE_end,CH_95,3,2,2.35,08/21/1932,5
CH_95_SW_end,CH_95,2,2,2.35,08/21/1932,5
CH_95_NW_start,CH_95,2,3,4.25,08/22/1932,6
CH_95_NE_start,CH_95,3,3,4.25,08/22/1932,6
CH_95_SE_start,CH_95,3,2,4.2,08/22/1932,6
CH_95_SW_start,CH_95,2,2,4.2,08/22/1932,6
CH_95_NW_end,CH_95,2,3,2.55,08/22/1932,6
CH_95_NE_end,CH_95,3,3,2.55,08/22/1932,6
CH_95_SE_end,CH_95,3,2,2.5,08/22/1932,6
CH_95_SW_end,CH_95,2,2,2.5,08/22/1932,6
CH_95_NW_start,CH_95,2,3,4.2,08/23/1932,7
CH_95_NE_start,CH_95,3,3,4.2,08/23/1932,7
CH_95_SE_start,CH_95,3,2,4.05,08/23/1932,7
CH_95_SW_start,CH_95,2,2,4.05,08/23/1932,7
CH_95_NW_end,CH_95,2,3,2.95,08/23/1932,7
CH_95_NE_end,CH_95,3,3,2.95,08/23/1932,7
CH_95_SE_end,CH_95,3,2,2.8,08/23/1932,7
CH_95_SW_end,CH_95,2,2,2.8,08/23/1932,7
CH_95_NW_start,CH_95,2,3,4.55,08/24/1932,8
CH_95_NE_start,CH_95,3,3,4.55,08/24/1932,8
CH_95_SE_start,CH_95,3,2,4.5,08/24/1932,8
CH_95_SW_start,CH_95,2,2,4.5,08/24/1932,8
CH_95_NW_end,CH_95,2,3,3.1,08/24/1932,8
CH_95_NE_end,CH_95,3,3,3.1,08/24/1932,8
CH_95_SE_end,CH_95,3,2,3.05,08/24/1932,8
CH_95_SW_end,CH_95,2,2,3.05,08/24/1932,8
