Original burial #,find date,square,elevation,Findspot
DH06x6,8/24/32,DH_06,0.95,below top level D .95
DH06x7,8/24/32,DH_06,0.75,top later D .75
DH06x8,8/24/32,DH_06,0.75,top later above L1 and with x 7 etc D .75
DH06x9,8/24/32,DH_06,1.2,top level D 75-1.40
DH15x1,11/2/32,DH_15,2.85,L3...? depth 2.85
DH15x10,11/2/32,DH_15,2.80,L3 length D.2.80
DH15x11,11/2/32,DH_15,2.95,depth 2.95
DH15x12,11/2/32,DH_15,2.9,Depth 2.90
DH15x13,11/2/32,DH_15,3.05,"L3 lenght, depth 3.05"
DH15x14,11/6/32,DH_15,3.45,L3 depth 3.45
DH15x2,11/2/32,DH_15,2.9,L3...? Depth 2.90
DH15x3,11/2/32,DH_15,2.92,depth 2.95
DH15x4,11/2/32,DH_15,2.95,"L2 lenght, depth 2.95"
DH15x5,11/2/32,DH_15,3.10,"L3 lenght, depth 3.10"
DH15x6,11/2/32,DH_15,3.20,"L3 length, Depth 3.20"
DH15x7,11/2/32,DH_15,3.05,L3 length Depth 3.05
DH15x8,11/2/32,DH_15,3.30,"L3 length, Depth 3.30"
DH15x9,11/2/32,DH_15,2.85,"L3 Lenght, D.2.85"
DH16x1,11/2/32,DH_16,2.35,"L2 ca., Depth 2.35"
DH16x2,11/2/32,DH_16,2.75,depth 2.75
DH16x3,11/2/32,DH_16,1.55,"L1-2, depth 1.55"
DH16x4,11/2/32,DH_16,1.60,L1-2 Depth 1.60
DH16x5,11/2/32,DH_16,2.30,L2 ca Depth 2.30
