,Amphitheater_id,date_built,pleiades_region,minRegionDate,maxRegionDate,built_after_founding
183,leptiminusAmphitheater,100,Lepti Minus,-330.0,640.0,430.0
184,caesareaAmphitheater,100,Stratonos Pyrgos/Caesarea,-330.0,2100.0,430.0
185,pergamumAmphitheater,100,Pergamum,-1750.0,2000.0,1850.0
186,sabrathaAmphitheater,100,Abrotonum/Sabratha,-750.0,640.0,850.0
187,carmarthenAmphitheater,100,*Moridunum,-30.0,640.0,130.0
188,sbeitlaAmphitheater,100,Sufetula,-30.0,640.0,130.0
189,trierAmphitheater,100,Col. Augusta Treverorum,-30.0,2100.0,130.0
190,besanconAmphitheater,100,Vesontio,-330.0,2100.0,430.0
191,limogesAmphitheater,100,Augustoritum,-30.0,2100.0,130.0
192,amiensAmphitheater,100,Samarobriva Ambianorum,-330.0,2100.0,430.0
193,seressiAmphitheater,100,*Seressi,-30.0,640.0,130.0
194,chemtouAmphitheater,100,Simitthu,-330.0,2100.0,430.0
195,genzanoPrivateAmphitheater,100,Antonini,-30.0,640.0,130.0
196,ainHedjahAmphitheater,100,Agbia,-30.0,640.0,130.0
197,uticaAmphitheater,100,Utica,-750.0,640.0,850.0
198,tebourbaAmphitheater,100,Thuburbi Minus,-330.0,2100.0,430.0
199,hencherElKasbatAmphitheater,100,Thuburbo Maius,-330.0,640.0,430.0
200,hencherZembraAmphitheater,100,Uluzibbira,-330.0,640.0,430.0
201,botriaAmphitheater,100,Acholla,-330.0,640.0,430.0
202,portusOvalStructure,100,Portus,-30.0,2100.0,130.0
203,mesarafeltaAmphitheater,100,Mesarfelta,-30.0,640.0,130.0
204,tigavaCastraAmphitheater,100,Tigava Castra,-30.0,300.0,130.0
205,tusculumAmphitheater,100,Tusculum,-750.0,2100.0,850.0
206,hadrianVillaAmphitheater,117,Villa Hadriani,-330.0,640.0,447.0
207,gemellaeAmphitheater,117,Gemellae,-30.0,640.0,147.0
208,toursAmphitheater,117,Caesarodunum,-30.0,2100.0,147.0
209,riminiAmphitheater,117,Ariminum,-550.0,640.0,667.0
210,colAugustaRauricaAmphitheatre,150,Col. Augusta Raurica,-330.0,2100.0,480.0
211,tipasaAmphitheater,150,Tipasa,-550.0,640.0,700.0
212,bullaRegiaAmphitheater,150,Bulla Regia,-330.0,640.0,480.0
213,duraEuroposAmphitheater,193,Dura,-330.0,640.0,523.0
214,romeAmphitheatrumCastrense,193,Roma,-750.0,2100.0,943.0
215,marcianopolisAmphitheater,193,Marcianopolis,-30.0,640.0,223.0
216,bararusAmphitheater,193,Bararus,-30.0,640.0,223.0
217,castraAlbanaAmphitheater,193,Castra Albana,-30.0,640.0,223.0
218,grandHalfAmphitheater,200,Grannum,-30.0,2100.0,230.0
219,thysdrusAmphitheater,235,Thysdrus,-330.0,2100.0,565.0
220,sophiaAmphitheater,235,Serdica,-30.0,2100.0,265.0
221,aphrodisiasAmphitheater,300,Aphrodisias,-550.0,640.0,850.0
