word,lexical_reference_form,play,line_number,playwright,genre
ὀργήν,ὀργή,peace,752,aristophanes,comedy
ἐπιθυμεῖν,θυμός,peace,12,aristophanes,comedy
προθύμως,θυμός,peace,301,aristophanes,comedy
προθύμως,θυμός,peace,379,aristophanes,comedy
προθύμως,θυμός,peace,417,aristophanes,comedy
προθύμως,θυμός,peace,437,aristophanes,comedy
ἐπιθυμῶν,θυμός,peace,444,aristophanes,comedy
ἐπιθυμεῖ,θυμός,peace,448,aristophanes,comedy
προθυμοῦντ’,θυμός,peace,480,aristophanes,comedy
ὁμοθυμαδὸν,θυμός,peace,484,aristophanes,comedy
ἐπιθυμεῖτε,θυμός,peace,506,aristophanes,comedy
προθυμοῦ,θυμός,peace,510,aristophanes,comedy
θυμὸς,θυμός,peace,559,aristophanes,comedy
ἐπιθυμῶ,θυμός,peace,569,aristophanes,comedy
βορβοροθύμους,θυμός,peace,753,aristophanes,comedy
προθύμως,θυμός,peace,906,aristophanes,comedy
χολή,"χόλος, χολή",peace,66,aristophanes,comedy
ἐπιθυμῶ,θυμός,clouds,322,aristophanes,comedy
ἐπιθυμήσας,θυμός,clouds,412,aristophanes,comedy
ἐπιθυμεῖς,θυμός,clouds,416,aristophanes,comedy
ἐπιθυμῶ,θυμός,clouds,433,aristophanes,comedy
ἐπιθυμεῖς,θυμός,clouds,435,aristophanes,comedy
προθύμως,θυμός,clouds,501,aristophanes,comedy
ἐπιθυμῶ,θυμός,clouds,656,aristophanes,comedy
γλυκύθυμος,θυμός,clouds,705,aristophanes,comedy
ἐνθυμούμενος,θυμός,clouds,820,aristophanes,comedy
κἀπεθύμουν,θυμός,clouds,1036,aristophanes,comedy
θυμὸν,θυμός,clouds,1369,aristophanes,comedy
χολῶσιν,"χόλος, χολή",clouds,833,aristophanes,comedy
ὀργήν,ὀργή,knights,41,aristophanes,comedy
ὀργὰς,ὀργή,knights,537,aristophanes,comedy
ὀργισθέντ’,ὀργή,knights,993,aristophanes,comedy
θυμὸς,θυμός,knights,570,aristophanes,comedy
ὀξύθυμος,θυμός,knights,706,aristophanes,comedy
θυμέ,θυμός,knights,1194,aristophanes,comedy
ἀκράχολος,"χόλος, χολή",knights,41,aristophanes,comedy
εὐόργου,ὀργή,wealth,61,aristophanes,comedy
ἐπιθυμεῖ,θυμός,wealth,195,aristophanes,comedy
πρόθυμος,θυμός,wealth,209,aristophanes,comedy
προθύμως,θυμός,wealth,257,aristophanes,comedy
προθύμως,θυμός,wealth,282,aristophanes,comedy
προθύμως,θυμός,wealth,324,aristophanes,comedy
ἐπιθυμοῦντες,θυμός,wealth,492,aristophanes,comedy
ἐπεθύμουν,θυμός,wealth,675,aristophanes,comedy
μελαγχολῶντ’,"χόλος, χολή",wealth,12,aristophanes,comedy
μελαγχολᾷς,"χόλος, χολή",wealth,366,aristophanes,comedy
μελαγχολᾶν,"χόλος, χολή",wealth,903,aristophanes,comedy
ὀργῆς,ὀργή,birds,383,aristophanes,comedy
ὀργὴν,ὀργή,birds,402,aristophanes,comedy
ὀργῶ,ὀργή,birds,462,aristophanes,comedy
ἐπιθυμεῖ,θυμός,birds,78,aristophanes,comedy
θυμὸν,θυμός,birds,401,aristophanes,comedy
ἐπιθυμῇ,θυμός,birds,984,aristophanes,comedy
ὁμοθυμαδὸν,θυμός,birds,1015,aristophanes,comedy
κἀπιθυμῶ,θυμός,birds,1345,aristophanes,comedy
ἐπιθυμῶ,θυμός,birds,1352,aristophanes,comedy
μελαγχολῶν,"χόλος, χολή",birds,14,aristophanes,comedy
ὀργίζεται,ὀργή,ecclesiazusae,202,aristophanes,comedy
ἐνθυμουμένοις,θυμός,ecclesiazusae,138,aristophanes,comedy
ἐπιθυμήσουσιν,θυμός,ecclesiazusae,234,aristophanes,comedy
ἐντεθύμηται,θυμός,ecclesiazusae,262,aristophanes,comedy
ἐπιθυμήσῃ,θυμός,ecclesiazusae,611,aristophanes,comedy
ἐπιθυμήσῃ,θυμός,ecclesiazusae,618,aristophanes,comedy
ἐπιθυμεῖς,θυμός,ecclesiazusae,804,aristophanes,comedy
ἐπιθυμῇ,θυμός,ecclesiazusae,1016,aristophanes,comedy
ἐπιθυμῇ,θυμός,ecclesiazusae,1018,aristophanes,comedy
μελαγχολᾶν,"χόλος, χολή",ecclesiazusae,251,aristophanes,comedy
ὀργῇ,ὀργή,acharnians,530,aristophanes,comedy
θυμὸν,θυμός,acharnians,353,aristophanes,comedy
θυμέ,θυμός,acharnians,483,aristophanes,comedy
ἐπιθυμοῦντες,θυμός,acharnians,644,aristophanes,comedy
