"AFRIN","DEUS.TONITRUS","900","700","Northern Levant and Aleppo","Afrin"
"BABYLON 1","DEUS.TONITRUS","950","850","Northern Levant and Aleppo","Babylon"
"BABYLON 2","DEUS.TONITRUS","800","700","Northern Levant and Aleppo","Babylon"
"BABYLON 3","DEUS.TONITRUS","800","700","Northern Levant and Aleppo","Babylon"
"KARKAMIS_a4b","DEUS.TONITRUS","1100","900","Karkemis","Karkemis"
"TELL_TAYINAT_2","DEUS.TONITRUS","800","700","Northern Levant and Aleppo","Tell Tayinat"
